property_address,property_ward,violation_fire_code,violation_description,number_of_violations
6020 Bathurst St,6,2.7.3.3,2.7.3.3 Emergency lighting,6
6020 Bathurst St,6,CH 470 - S.7,CH 470 - S.7,6
6010 Bathurst St,6,1.1.2.3,1.1.2.3  (Do Not Use),3
5950 Bathurst St,6,1.1.1.2,"1.1.1.2 Check, inspect and test",2
5950 Bathurst St,6,2.2.3.2,2.2.3.2 Maintenance of closures,2
6030 Bathurst St,6,1.1.2.3,1.1.2.3  (Do Not Use),5
15 Canyon Ave,6,2.2.3.2,2.2.3.2 Maintenance of closures,6
15 Canyon Ave,6,2.4.1.1,2.4.1.1 Accumulation of combustible materials,6
2 Mascot Pl,6,1.1.1.2,"1.1.1.2 Check, inspect and test",10
2 Mascot Pl,6,1.1.2.1,1.1.2.1 Records to be prepared,10
2 Mascot Pl,6,1.1.2.3,1.1.2.3  (Do Not Use),10
2 Mascot Pl,6,2.2.2.1,2.2.2.1 Damaged fire separations,10
2 Mascot Pl,6,2.2.3.2,2.2.3.2 Maintenance of closures,10
2 Mascot Pl,6,9.6.4.9,9.6.4.9 Shutdown of air handling systems,10
190 Exbury Rd,6,2.2.2.1,2.2.2.1 Damaged fire separations,9
190 Exbury Rd,6,2.2.3.2,2.2.3.2 Maintenance of closures,9
190 Exbury Rd,6,2.4.1.1,2.4.1.1 Accumulation of combustible materials,9
190 Exbury Rd,6,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,9
190 Exbury Rd,6,6.2.7.6,6.2.7.6 Maintenance after use,9
190 Exbury Rd,6,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,9
190 Exbury Rd,6,6.5.1.5 (1),6.5.1.5 (1) Obstructions,9
18 Cedarcroft Blvd,6,1.1.2.3,1.1.2.3  (Do Not Use),9
18 Cedarcroft Blvd,6,2.2.3.2,2.2.3.2 Maintenance of closures,9
25 Fisherville Rd,6,2.2.3.1,2.2.3.1 Damaged closures,10
25 Fisherville Rd,6,2.2.3.2,2.2.3.2 Maintenance of closures,10
25 Canyon Ave,6,2.2.3.2,2.2.3.2 Maintenance of closures,5
25 Canyon Ave,6,2.4.1.1,2.4.1.1 Accumulation of combustible materials,5
25 Canyon Ave,6,9.6.2.6,9.6.2.6 Protection of openings in fire separations,5
25 Cedarcroft Blvd,6,1.1.1.2,"1.1.1.2 Check, inspect and test",7
25 Cedarcroft Blvd,6,1.1.2.3,1.1.2.3  (Do Not Use),7
25 Cedarcroft Blvd,6,2.2.3.2,2.2.3.2 Maintenance of closures,7
25 Cedarcroft Blvd,6,2.2.3.3,2.2.3.3 Operation of closures,7
25 Cedarcroft Blvd,6,2.4.1.3,2.4.1.3 Waste receptacles,7
2737 Keele St,6,1.1.2.3,1.1.2.3  (Do Not Use),9
2737 Keele St,6,2.2.3.2,2.2.3.2 Maintenance of closures,9
2737 Keele St,6,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,9
2737 Keele St,6,7.2.2.1,7.2.2.1 Testing,9
3460 Keele St,6,1.1.1.2,"1.1.1.2 Check, inspect and test",16
3460 Keele St,6,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),16
3460 Keele St,6,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),16
3460 Keele St,6,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),16
3460 Keele St,6,1.1.2.1./6.3.3.8.,1.1.2.1./6.3.3.8. - Records of Test (Smoke Alarms),16
3460 Keele St,6,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),16
3460 Keele St,6,1.1.2.1./6.5.5.5.,1.1.2.1./6.5.5.5. Records of Test (Water Supply Pressure Test),16
3460 Keele St,6,1.1.2.1./6.5.5.7.,1.1.2.1./6.5.5.7. Records of Test (Electrical Supervision),16
3460 Keele St,6,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),16
3460 Keele St,6,2.2.3.2,2.2.3.2 Maintenance of closures,16
3460 Keele St,6,2.4.1.1,2.4.1.1 Accumulation of combustible materials,16
3460 Keele St,6,2.7.3.1,2.7.3.1 Exit signs,16
3 Goldfinch Crt,6,2.2.3.2,2.2.3.2 Maintenance of closures,3
3 Goldfinch Crt,6,2.4.1.3,2.4.1.3 Waste receptacles,3
3 Goldfinch Crt,6,9.6.4.2,9.6.4.2 Automatic detection,3
35 Cedarcroft Blvd,6,1.1.2.3,1.1.2.3  (Do Not Use),5
35 Cedarcroft Blvd,6,2.2.3.2,2.2.3.2 Maintenance of closures,5
3390 Keele St,6,1.1.1.2,"1.1.1.2 Check, inspect and test",24
3390 Keele St,6,2.2.3.2,2.2.3.2 Maintenance of closures,24
3390 Keele St,6,2.2.3.3,2.2.3.3 Operation of closures,24
3390 Keele St,6,3.3.2.3,3.3.2.3 Pile clearance,24
3390 Keele St,6,6.2.7.1,"6.2.7.1 Inspection, Testing and Maintenance",24
3390 Keele St,6,6.3.2.2,6.3.2.2 Fire alarm systems,24
3390 Keele St,6,6.4.1.6,"6.4.1.6 Inspection, testing and maintenance",24
3390 Keele St,6,6.5.1.1,"6.5.1.1 Repair, replacement, alterations, inspection, testing and maintenance",24
605 Finch Ave W,6,2.2.3.2,2.2.3.2 Maintenance of closures,3
605 Finch Ave W,6,6.4.2.6,6.4.2.6 Standpipe identification,3
6040 Bathurst St,6,2.2.3.2,2.2.3.2 Maintenance of closures,14
6040 Bathurst St,6,2.4.1.3,2.4.1.3 Waste receptacles,14
6040 Bathurst St,6,3.3.2.3,3.3.2.3 Pile clearance,14
6040 Bathurst St,6,6.3.2.2,6.3.2.2 Fire alarm systems,14
6040 Bathurst St,6,6.3.2.2,6.3.2.2 Fire alarm systems,14
6040 Bathurst St,6,CH 470 - S.7,CH 470 - S.7,14
711 Finch Ave W,6,2.2.3.2,2.2.3.2 Maintenance of closures,8
711 Finch Ave W,6,3.3.2.3,3.3.2.3 Pile clearance,8
711 Finch Ave W,6,6.5.4.5,6.5.4.5 Sprinkler control valves,8
2885 Bayview Ave,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",31
2885 Bayview Ave,NA,1.1.2.1,1.1.2.1 Records to be prepared,31
2885 Bayview Ave,NA,1.1.2.1,1.1.2.1 Records to be prepared,31
2885 Bayview Ave,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),31
2885 Bayview Ave,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),31
2885 Bayview Ave,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),31
2885 Bayview Ave,NA,1.1.2.1./6.3.2.6.,1.1.2.1./6.3.2.6. Records of Test (Smoke Alarms),31
2885 Bayview Ave,NA,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),31
2885 Bayview Ave,NA,1.1.2.1./6.5.5.2.,1.1.2.1./6.5.5.2. Records of Test (Sprinkler Alarm Test),31
2885 Bayview Ave,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),31
2885 Bayview Ave,NA,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),31
2885 Bayview Ave,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),31
2885 Bayview Ave,NA,2.7.3.2 (1),2.7.3.2 (1) Exit Signs,31
2885 Bayview Ave,NA,6.3.1.2,6.3.1.2 Monitoring,31
701 Sheppard Ave W,6,1.1.1.2,"1.1.1.2 Check, inspect and test",7
701 Sheppard Ave W,6,2.2.3.2,2.2.3.2 Maintenance of closures,7
701 Sheppard Ave W,6,2.4.1.1,2.4.1.1 Accumulation of combustible materials,7
701 Sheppard Ave W,6,2.8.2.1,2.8.2.1 Measures in a fire safety plan,7
701 Sheppard Ave W,6,6.5.1.5 (1),6.5.1.5 (1) Obstructions,7
701 Sheppard Ave W,6,7.2.5.1,7.2.5.1 Maintenance of certain fire emergency systems,7
623 Finch Ave W,6,2.2.3.2,2.2.3.2 Maintenance of closures,5
625 Finch Ave W,6,2.2.3.2,2.2.3.2 Maintenance of closures,5
625 Finch Ave W,6,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,5
6250 Bathurst St,6,2.2.3.2,2.2.3.2 Maintenance of closures,6
707 Finch Ave W,6,1.1.2.3,1.1.2.3  (Do Not Use),7
707 Finch Ave W,6,2.2.3.2,2.2.3.2 Maintenance of closures,7
707 Finch Ave W,6,3.3.2.3,3.3.2.3 Pile clearance,7
2885 Bayview Ave,NA,1.1.2.1,1.1.2.1 Records to be prepared,31
2885 Bayview Ave,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,31
80 Antibes Dr,6,1.1.1.2,"1.1.1.2 Check, inspect and test",17
80 Antibes Dr,6,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),17
80 Antibes Dr,6,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),17
80 Antibes Dr,6,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),17
80 Antibes Dr,6,1.1.2.1./6.3.2.4.,1.1.2.1./6.3.2.4. Records of Test (Voice Communication),17
80 Antibes Dr,6,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),17
80 Antibes Dr,6,1.1.2.1./6.5.5.7.,1.1.2.1./6.5.5.7. Records of Test (Electrical Supervision),17
80 Antibes Dr,6,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),17
80 Antibes Dr,6,2.16.2.1,2.16.2.1 Installation requirements,17
80 Antibes Dr,6,2.2.3.2,2.2.3.2 Maintenance of closures,17
80 Antibes Dr,6,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,17
80 Antibes Dr,6,9.6.4.6,9.6.4.6 Signals to the fire department,17
99 Davisville Ave,NA,2.16.2.1,2.16.2.1 Installation requirements,9
99 Davisville Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,9
99 Davisville Ave,NA,6.2.4.3,6.2.4.3 Distance above floor,9
99 Davisville Ave,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,9
99 Davisville Ave,NA,6.5.1.1,"6.5.1.1 Repair, replacement, alterations, inspection, testing and maintenance",9
920 Sheppard Ave W,6,2.2.3.2,2.2.3.2 Maintenance of closures,6
920 Sheppard Ave W,6,2.4.1.1,2.4.1.1 Accumulation of combustible materials,6
920 Sheppard Ave W,6,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,6
920 Sheppard Ave W,6,2.7.3.3,2.7.3.3 Emergency lighting,6
920 Sheppard Ave W,6,6.2.7.2,6.2.7.2 Examination,6
920 Sheppard Ave W,6,CH 470 - S.6,CH 470 - S.6,6
9 Kingsbridge Crt,6,1.1.1.2,"1.1.1.2 Check, inspect and test",4
9 Kingsbridge Crt,6,2.2.3.2,2.2.3.2 Maintenance of closures,4
801 Sheppard Ave W,6,1.1.2.3,1.1.2.3  (Do Not Use),9
801 Sheppard Ave W,6,2.2.3.2,2.2.3.2 Maintenance of closures,9
801 Sheppard Ave W,6,2.4.1.1,2.4.1.1 Accumulation of combustible materials,9
801 Sheppard Ave W,6,9.6.2.6,9.6.2.6 Protection of openings in fire separations,9
801 Sheppard Ave W,6,9.6.2.8,9.6.2.8 Fuel-fired appliance service rooms,9
801 Sheppard Ave W,6,9.6.4.6,9.6.4.6 Signals to the fire department,9
90 Fisherville Rd,6,1.1.2.1,1.1.2.1 Records to be prepared,14
90 Fisherville Rd,6,1.1.2.3,1.1.2.3  (Do Not Use),14
90 Fisherville Rd,6,2.2.2.1,2.2.2.1 Damaged fire separations,14
90 Fisherville Rd,6,2.2.3.2,2.2.3.2 Maintenance of closures,14
90 Fisherville Rd,6,2.4.1.1,2.4.1.1 Accumulation of combustible materials,14
90 Fisherville Rd,6,2.7.3.2,2.7.3.2 Exit Signs,14
90 Fisherville Rd,6,6.5.1.5 (1),6.5.1.5 (1) Obstructions,14
90 Fisherville Rd,6,9.6.2.11,9.6.2.11 Refuse storage rooms,14
90 Fisherville Rd,6,9.6.2.6,9.6.2.6 Protection of openings in fire separations,14
90 Fisherville Rd,6,9.6.3.5,9.6.3.5 Door swing,14
90 Fisherville Rd,6,9.6.4.2,9.6.4.2 Automatic detection,14
1 Canyon Ave,6,1.1.2.3,1.1.2.3  (Do Not Use),5
1 Canyon Ave,6,2.2.3.2,2.2.3.2 Maintenance of closures,5
55 The Esplanade,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,19
4673 Jane St,7,2.4.1.1,2.4.1.1 Accumulation of combustible materials,17
133 Torresdale Ave,6,1.1.1.2,"1.1.1.2 Check, inspect and test",16
133 Torresdale Ave,6,1.1.1.2,"1.1.1.2 Check, inspect and test",16
133 Torresdale Ave,6,1.1.2.1,1.1.2.1 Records to be prepared,16
133 Torresdale Ave,6,1.1.2.3,1.1.2.3  (Do Not Use),16
133 Torresdale Ave,6,2.2.2.1,2.2.2.1 Damaged fire separations,16
133 Torresdale Ave,6,2.2.3.2,2.2.3.2 Maintenance of closures,16
133 Torresdale Ave,6,2.5.1.2,2.5.1.2 Maintaining access free of obstructions,16
133 Torresdale Ave,6,6.4.3.7,6.4.3.7. Fire Department Connections,16
133 Torresdale Ave,6,9.6.2.11,9.6.2.11 Refuse storage rooms,16
6061 Yonge St,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",15
1815 Yonge St,NA,6.3.1.8,6.3.1.8 Repairs and alterations to fire alarm systems,12
1815 Yonge St,NA,7.2.5.1,7.2.5.1 Maintenance of certain fire emergency systems,12
12 York St,NA,7.2.5.1,7.2.5.1 Maintenance of certain fire emergency systems,6
267 St George St,NA,2.2.3.3,2.2.3.3 Operation of closures,3
267 St George St,NA,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,3
267 St George St,NA,2.7.2.2,"2.7.2.2 Requirements for locking, latching and fastening devices",3
3 Rowntree Rd,1,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),4
3390 Weston Rd,7,2.2.3.2,2.2.3.2 Maintenance of closures,17
3390 Weston Rd,7,9.6.4.10,9.6.4.10 Smoke alarms,17
5 Hanna Ave,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,19
1407 Dupont St,NA,1.1.2.3./6.7.1.1.,1.1.2.3./6.7.1.1. Records of Test (Emergency Power Systems),2
1407 Dupont St,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,2
79 Thorncliffe Park Dr,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,10
79 Thorncliffe Park Dr,NA,9.6.5.3,9.6.5.3 Fire department connections,10
5233 Dundas St W,3,1.1.1.2,"1.1.1.2 Check, inspect and test",15
736 Bay St,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,16
310 Niska Rd,7,7.2.5.1,7.2.5.1 Maintenance of certain fire emergency systems,4
310 Niska Rd,7,7.2.5.1,7.2.5.1 Maintenance of certain fire emergency systems,4
3390 Weston Rd,7,2.2.3.2,2.2.3.2 Maintenance of closures,17
11 Catford Rd,7,1.1.1.2,"1.1.1.2 Check, inspect and test",10
11 Catford Rd,7,2.2.3.2,2.2.3.2 Maintenance of closures,10
55 A Avenue Rd,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,9
55 A Avenue Rd,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,9
25 Cosburn Ave,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",4
25 Cosburn Ave,NA,2.16.2.1,2.16.2.1 Installation requirements,4
1010 Broadview Ave,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",25
1010 Broadview Ave,NA,2.2.3.3,2.2.3.3 Operation of closures,25
1010 Broadview Ave,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,25
33 Eastmount Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,14
33 Eastmount Ave,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,14
105 Rowena Dr,NA,1.1.2.1,1.1.2.1 Records to be prepared,24
105 Rowena Dr,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),24
105 Rowena Dr,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),24
105 Rowena Dr,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),24
105 Rowena Dr,NA,1.1.2.1./6.3.3.8.,1.1.2.1./6.3.3.8. - Records of Test (Smoke Alarms),24
105 Rowena Dr,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),24
105 Rowena Dr,NA,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),24
105 Rowena Dr,NA,2.2.2.1,2.2.2.1 Damaged fire separations,24
105 Rowena Dr,NA,2.2.3.1,2.2.3.1 Damaged closures,24
105 Rowena Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,24
105 Rowena Dr,NA,2.8.2.5 (1),2.8.2.5 (1) Posting fire emergency procedures,24
105 Rowena Dr,NA,6.5.3.4,6.5.3.4 Sprinkler heads,24
2600 Finch Ave W,7,1.1.2.3./2.7.3.3.(3),1.1.2.3./2.7.3.3.(3) Records of Test (Emergency Lighting),21
2600 Finch Ave W,7,1.1.2.3./6.2.7.5.,1.1.2.3./6.2.7.5. Records of Test (Fire Extinguishers),21
2600 Finch Ave W,7,1.1.2.3./6.3.2.2.,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),21
2600 Finch Ave W,7,1.1.2.3./6.4.3.7.(1),1.1.2.3./6.4.3.7.(1) Records of Test (Standpipe - FD Connections),21
2600 Finch Ave W,7,1.1.2.3./6.5.5.3.,1.1.2.3./6.5.5.3. Records of Test (Water Flow Test),21
2600 Finch Ave W,7,1.1.2.3./7.2.2.1.,1.1.2.3./7.2.2.1. Records of Test (Elevator),21
2600 Finch Ave W,7,2.2.3.2,2.2.3.2 Maintenance of closures,21
145 Strathmore Blvd,NA,2.2.3.1,2.2.3.1 Damaged closures,10
145 Strathmore Blvd,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,10
10 Roanoke Rd,NA,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),18
10 Roanoke Rd,NA,2.2.2.1,2.2.2.1 Damaged fire separations,18
10 Roanoke Rd,NA,2.2.3.1,2.2.3.1 Damaged closures,18
10 Roanoke Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,18
10 Roanoke Rd,NA,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,18
10 Roanoke Rd,NA,2.7.3.3,2.7.3.3 Emergency lighting,18
10 Roanoke Rd,NA,2.8.3.4,2.8.3.4 Records,18
35 Tobermory Dr,7,CH 470 - S.7,CH 470 - S.7,7
1 Greystone Walk Dr,NA,1.1.2.1,1.1.2.1 Records to be prepared,7
1 Greystone Walk Dr,NA,1.1.2.3./6.3.2.6.,1.1.2.3./6.3.2.6. Records of Test (Smoke Alarms),7
1 Greystone Walk Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,7
164 Cumberland St,NA,1.1.2.1./6.4.3.7.(1),1.1.2.1./6.4.3.7.(1) Records of Test (Standpipe - FD Connections),4
164 Cumberland St,NA,2.8.1.1,2.8.1.1 Application,4
164 Cumberland St,NA,6.3.1.2,6.3.1.2 Monitoring,4
164 Cumberland St,NA,9.6.3.6,9.6.3.6 Exit signs,4
10 Teesdale Pl,NA,1.1.2.3./6.3.2.2.,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),8
10 Teesdale Pl,NA,1.1.2.3./6.5.5.3.,1.1.2.3./6.5.5.3. Records of Test (Water Flow Test),8
10 Teesdale Pl,NA,1.1.2.3./6.6.3.5.,1.1.2.3./6.6.3.5. Records of Test (Fire Pump),8
10 Teesdale Pl,NA,1.1.2.3./6.7.1.1.,1.1.2.3./6.7.1.1. Records of Test (Emergency Power Systems),8
10 Teesdale Pl,NA,2.2.3.2,2.2.3.2 Maintenance of closures,8
10 Teesdale Pl,NA,2.7.3.2,2.7.3.2 Exit Signs,8
10 Teesdale Pl,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,8
1465 Lawrence Ave W,5,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,18
1 Firvalley Crt,NA,2.2.3.2,2.2.3.2 Maintenance of closures,6
1 Firvalley Crt,NA,6.2.7.2,6.2.7.2 Examination,6
1 Firvalley Crt,NA,6.4.2.1,6.4.2.1 Hose stations,6
1 Firvalley Crt,NA,6.5.3.4,6.5.3.4 Sprinkler heads,6
45 Lisgar St,9,1.1.2.3./6.2.7.5.,1.1.2.3./6.2.7.5. Records of Test (Fire Extinguishers),24
45 Lisgar St,9,1.1.2.3./6.3.2.2.,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),24
45 Lisgar St,9,2.2.3.2,2.2.3.2 Maintenance of closures,24
45 Lisgar St,9,6.5.6.5,6.5.6.5 Spare sprinkler heads,24
45 Lisgar St,9,6.6.3.5,6.6.3.5 Fire pump flow tests,24
45 Lisgar St,9,CH 470 - S.6,CH 470 - S.6,24
1080 Kingston Rd,NA,1.1.2.3,1.1.2.3  (Do Not Use),17
1080 Kingston Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,17
1080 Kingston Rd,NA,2.2.3.4,2.2.3.4 Door in a fire separation,17
1080 Kingston Rd,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,17
1080 Kingston Rd,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,17
1080 Kingston Rd,NA,2.4.1.2,2.4.1.2 Furniture in corridors serving guest suites,17
1080 Kingston Rd,NA,2.4.1.2,2.4.1.2 Furniture in corridors serving guest suites,17
1080 Kingston Rd,NA,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,17
1080 Kingston Rd,NA,2.7.2.1,2.7.2.1 Door release hardware,17
1080 Kingston Rd,NA,6.2.7.4,6.2.7.4 Tags,17
1080 Kingston Rd,NA,6.3.3.8,6.3.3.8 Testing,17
1080 Kingston Rd,NA,6.3.4.8,6.3.4.8 Testing,17
1080 Kingston Rd,NA,9.6.3.6,9.6.3.6 Exit signs,17
170 Sudbury St,9,1.1.2.3./6.2.7.5.,1.1.2.3./6.2.7.5. Records of Test (Fire Extinguishers),28
170 Sudbury St,9,1.1.2.3./6.3.2.2.,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),28
170 Sudbury St,9,2.2.3.2,2.2.3.2 Maintenance of closures,28
170 Sudbury St,9,2.8.2.1,2.8.2.1 Measures in a fire safety plan,28
170 Sudbury St,9,6.5.1.8,6.5.1.8 Records,28
1759 Victoria Park Ave,NA,2.2.3.4,2.2.3.4 Door in a fire separation,1
1757 Victoria Park Ave,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),7
1757 Victoria Park Ave,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),7
1757 Victoria Park Ave,NA,1.1.2.1./6.3.2.6.,1.1.2.1./6.3.2.6. Records of Test (Smoke Alarms),7
1757 Victoria Park Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,7
1757 Victoria Park Ave,NA,2.2.3.4,2.2.3.4 Door in a fire separation,7
60 Town Centre Crt,NA,1.1.2.3./2.7.3.3.(3),1.1.2.3./2.7.3.3.(3) Records of Test (Emergency Lighting),13
60 Town Centre Crt,NA,1.1.2.3./6.2.7.5.,1.1.2.3./6.2.7.5. Records of Test (Fire Extinguishers),13
60 Town Centre Crt,NA,1.1.2.3./6.3.2.2.,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),13
60 Town Centre Crt,NA,1.1.2.3./6.4.3.5.,1.1.2.3./6.4.3.5. Records of Test (Flow and Pressure Tests),13
60 Town Centre Crt,NA,1.1.2.3./6.6.3.5.,1.1.2.3./6.6.3.5. Records of Test (Fire Pump),13
60 Town Centre Crt,NA,1.1.2.3./6.7.1.1.,1.1.2.3./6.7.1.1. Records of Test (Emergency Power Systems),13
60 Town Centre Crt,NA,2.2.3.2,2.2.3.2 Maintenance of closures,13
60 Town Centre Crt,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,13
60 Town Centre Crt,NA,7.2.2.1,7.2.2.1 Testing,13
1100 Kingston Rd,NA,1.1.2.1,1.1.2.1 Records to be prepared,22
1100 Kingston Rd,NA,2.16.2.1,2.16.2.1 Installation requirements,22
1100 Kingston Rd,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,22
1100 Kingston Rd,NA,6.2.7.1,"6.2.7.1 Inspection, Testing and Maintenance",22
1100 Kingston Rd,NA,6.2.7.3,6.2.7.3 Defective extinguishers,22
1100 Kingston Rd,NA,6.4.1.6,"6.4.1.6 Inspection, testing and maintenance",22
1100 Kingston Rd,NA,6.5.1.1,"6.5.1.1 Repair, replacement, alterations, inspection, testing and maintenance",22
1100 Kingston Rd,NA,CH 470 - S.6,CH 470 - S.6,22
115 The Esplanade,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),17
115 The Esplanade,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),17
115 The Esplanade,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),17
115 The Esplanade,NA,1.1.2.1./6.4.3.2.,1.1.2.1./6.4.3.2. Records of Test (Standpipe - Hydrostatic),17
115 The Esplanade,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),17
115 The Esplanade,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),17
115 The Esplanade,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,17
115 The Esplanade,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,17
1239 Dundas St W,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),10
1239 Dundas St W,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),10
1239 Dundas St W,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),10
1239 Dundas St W,NA,1.1.2.1./6.3.3.8.,1.1.2.1./6.3.3.8. - Records of Test (Smoke Alarms),10
1239 Dundas St W,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),10
1239 Dundas St W,NA,1.1.2.1./6.5.5.4.,1.1.2.1./6.5.5.4. Records of Test (Dry Pipe Trip Test),10
1239 Dundas St W,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),10
1239 Dundas St W,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),10
1239 Dundas St W,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),10
140 Simcoe St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,28
140 Simcoe St,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,28
